model,Variant,Threshold,F1,Precision,Recall,ROC_AUC
LogisticRegression,baseline,0.5,0.4355716878402904,0.3195739014647137,0.6837606837606838,0.6977500711219958
RandomForest,baseline,0.5,0.3116883116883117,0.3622641509433962,0.27350427350427353,0.7278480751707959
LightGBM,finetuned,0.5,0.4465682015638575,0.32125,0.7321937321937322,0.7269069971674893
LightGBM,threshold_tuned,0.44789941824637647,0.4563253012048193,0.3101330603889457,0.8632478632478633,0.7269069971674893
